성별,연령대,순위,취미
남,10,1,게임
남,10,2,운동
남,10,3,독서
여,10,1,음악감상
여,10,2,게임
여,10,3,영상시청
남,20,1,게임
남,20,2,운동
남,20,3,독서
여,20,1,음악감상
여,20,2,독서
여,20,3,운동
남,30,1,게임
남,30,2,운동
남,30,3,음악감상
여,30,1,운동
여,30,2,독서
여,30,3,음악감상
남,40,1,게임
남,40,2,운동
남,40,3,낚시
여,40,1,걷기
여,40,2,영상시청
여,40,3,요리
남,50,1,낚시
남,50,2,등산
남,50,3,운동
여,50,1,운동
여,50,2,등산
여,50,3,여행
남,60,1,등산
남,60,2,바둑
남,60,3,낚시
여,60,1,걷기
여,60,2,영상시청
여,60,3,뜨개질
