scoring,market,purchasing_date,review_title,review_content,item
100점,롯데하이마트,2024.09.21.,"
아이폰16 하이마트에서 산건 진짜
",아이폰16 하이마트에서 산건 진짜 잘한것 같아요!빠르고 안전한 배송 마음에 듭니다!,"APPLE 아이폰16 플러스 512GB, 자급제 (자급제 공기계)"
100점,11번가,2024.11.01.,"
최고예요
",출시전 미리 구매했는데 좋은가격에 구매해서 잘 사용하고 있습니다!,"APPLE 아이폰16 플러스 512GB, 자급제 (자급제 공기계)"
80점,11번가,2024.10.24.,"
좋아요
",빠른 배송 감사합니다.추천,"APPLE 아이폰16 플러스 512GB, 자급제 (자급제 공기계)"
100점,11번가,2024.10.16.,"
최고예요
",아주마음에 들어요 배송도 빠르구요,"APPLE 아이폰16 플러스 512GB, 자급제 (자급제 공기계)"
100점,11번가,2024.11.05.,"
최고예요
",아주좋아요 13미니쓰다 바꾸니 더 좋네요,"APPLE 아이폰16 플러스 512GB, 자급제 (자급제 공기계)"
100점,롯데하이마트,2024.09.21.,"
?아요좋아용좋?니다
",?아요좋아용좋?니다,"APPLE 아이폰16 플러스 512GB, 자급제 (자급제 공기계)"
100점,11번가,2024.10.14.,"
최고예요
","배송도 빠르고 도착예정일에 왔어요!리얼패킹 영상은 신기하더라구요안전하게 패킹돼서 왔고, 폰도 넘 좋네요:)","APPLE 아이폰16 플러스 512GB, 자급제 (자급제 공기계)"
