,scoring,market,purchasing_date,review_title,review_content
0,100점,11번가,2024.09.30.,"
최고예요
",매번 쓰던 아이폰인데 화면 크기를 조금 늘렸는데 많이 다른 느낌이네요. 새로운 os라 그런지 전혀 다른 느낌이었습니다.
1,80점,11번가,2025.01.14.,"
좋아요
",상품 배송도 빠르고 꼼꼼하게 포장되어서 잘 도착했어요..x팡은 배송이 엉망이래서 패스하고 이사이트에서 샀는데 완전 만족합니다..
2,100점,11번가,2024.12.31.,"
최고예요
",아이폰 16 좋아요~카메라 기능 업그레이드
3,100점,11번가,2024.09.28.,"
최고예요
",잘받앗습니다 포장잘되잇고 고가라 그런가 직접전달이네요 선물용으로구입한거라 깨끗하게 잘받은거같습니다
4,100점,11번가,2024.09.29.,"
최고예요
",개봉하자마자 손에서 미끄러져 떨어뜨리면서 측면에 수많은 상처가.. 내 마음에도 상처가.. 저녁에는 듀얼심 명의불일치로 발신차단까지.. 첫 날부터 다사다난했는데 앞으로는 잘 지내보려구요
5,100점,11번가,2024.10.30.,"
최고예요
","주문한 제품이 정말 빨리 도착했네요. 디자인도 세련, 사용해보니 확실히 마음에 드네요"
6,100점,11번가,2024.10.31.,"
최고예요
",밤에 주문했는데 다음 날 아침에 도착했어요. 포장도 꼼꼼하게 해서 보내주셔서 파손 없이 잘 받았습니다.
7,100점,11번가,2024.10.02.,"
최고예요
",원하던 화면크기와 성능이라 좋습니다. 잘 사용할게요~
8,60점,롯데하이마트,2024.10.04.,"
본품 박스가 찌그러져서 와서 찝
",본품 박스가 찌그러져서 와서 찝찝하고 아쉽지만 기기엔 이상이 없어서 그냥 씁니다
9,100점,11번가,2024.10.08.,"
최고예요
",스크레치없고 깨끗하게 잘왔습니다
0,100점,11번가,2024.09.30.,"
최고예요
",매번 쓰던 아이폰인데 화면 크기를 조금 늘렸는데 많이 다른 느낌이네요. 새로운 os라 그런지 전혀 다른 느낌이었습니다.
1,80점,11번가,2025.01.14.,"
좋아요
",상품 배송도 빠르고 꼼꼼하게 포장되어서 잘 도착했어요..x팡은 배송이 엉망이래서 패스하고 이사이트에서 샀는데 완전 만족합니다..
2,100점,11번가,2024.12.31.,"
최고예요
",아이폰 16 좋아요~카메라 기능 업그레이드
3,100점,11번가,2024.09.28.,"
최고예요
",잘받앗습니다 포장잘되잇고 고가라 그런가 직접전달이네요 선물용으로구입한거라 깨끗하게 잘받은거같습니다
4,100점,11번가,2024.09.29.,"
최고예요
",개봉하자마자 손에서 미끄러져 떨어뜨리면서 측면에 수많은 상처가.. 내 마음에도 상처가.. 저녁에는 듀얼심 명의불일치로 발신차단까지.. 첫 날부터 다사다난했는데 앞으로는 잘 지내보려구요
5,100점,11번가,2024.10.30.,"
최고예요
","주문한 제품이 정말 빨리 도착했네요. 디자인도 세련, 사용해보니 확실히 마음에 드네요"
