,scoring,market,purchasing_date,review_title,review_content
1,100점,11번가,2024.10.07.,"
최고예요
","아이폰 13mini을 메인으로 하고 6S를 서브로 사용중이었는데,이번에 16을 새 메인으로 구매했어요!13mini보다 무겁긴 무겁지만 사진이나 성능 다 만족스러워요!"
2,100점,11번가,2024.09.27.,"
최고예요
","와오!!2차 구매라 늦게 받을 줄 알았는데 왠걸!!!세상 빠르게 받았습니다!!9/20날 빠르게 받났습니다!예쓰!!!ㅎㅎ크!!! 영롱 그 잡채!!! 미니12쓰다 바꾼건데 완전 카메라도 크고, 폰도 묵직하고~ 오랜만에 느껴보네요!!ㅎㅎㅎ너무너무 이뻐용!!"
3,100점,롯데하이마트,2025.01.10.,"
화면도 커지고 성능은 최고 추천
",화면도 커지고 성능은 최고 추천합니다
4,100점,11번가,2024.10.04.,"
최고예요
","생각보다 빨리와서 잘 받았습니다. 뒤늦게 악세서리들 사고 어제서야 마이그레이션까지 마쳤습니다.  XR에서 13 넘어간 때는 정말 만 하루까지 걸렸었는데, 이번엔 진짜 딱 3시간 걸렸습니다. (72G). 자체적으로 성능 테스트도 해 봤는데, 뽑기 성공하여 매우 기쁩니다. ^^"
5,100점,롯데하이마트,2024.09.23.,"
생각보다 빨리 와서 좋아요~ 기능
",생각보다 빨리 와서 좋아요~ 기능도 디자인도 마음에 듭니다. 추천합니다~!
6,80점,11번가,2024.12.08.,"
좋아요
",바로 다음날 슈팅배송 받아서 좋았어요배송 빠르고카드 무이자 할부 길어서 가격은 다른 사이트랑 같아도 할부가 제일 길어서 11번가에서 구입했네요.할부 끝나기전에 파손되거나 고장나지 않길 간절히 바래봅니다.
7,100점,롯데하이마트,2024.09.24.,"
11프로에서 16으로 왔는데 가볍고
",11프로에서 16으로 왔는데 가볍고 화면은 크고 카메라는 훨씬 좋아요 배송이 27일부터 순차 배송이라고 했는데 일주일 더 빨리 받아서 너무 좋아요 잘 쓸게요!
8,80점,11번가,2024.10.15.,"
좋아요
",갤럭시 쓰다가 넘어 왔는데 아직까지 별로 좋은 점을 모르겠네요. 갤럭시에서 사용하던 앱들이 없는 것들이 많아서 불편하군요. 대용 앱들늘 ?더라도 만족스럽지가 않네요.
9,100점,롯데하이마트,2025.01.22.,"
타회사보다 꼼꼼히 포장해준다는
",타회사보다 꼼꼼히 포장해준다는 것 때문에 하이마트에서 주문했습니다. 하이마트니 정품도 신뢰가 가고 제품도 꼼꼼히 배송되었네요. 가격도 만족합니다.
0,100점,11번가,2024.10.14.,"
최고예요
",좋아요! 아이폰쓰다가 갤럭시 쓰다가 다시 아이폰왔는데 좋아요 사실 별다른건 뭔지모르겟는데 아이폰쓰던버릇이있어서 편한거같아용요용요요요요용
